,drink_wat,water_time,toilet,hh_gps_latitude,hh_gps_longitude,Country
344,4,10,3,8.339586667,-10.57527333,SL
345,5,35,97,8.339866667,-10.52807667,SL
346,5,30,6,8.339921667,-10.528089999999999,SL
347,3,30,3,8.340088332999999,-10.52778,SL
348,8,60,6,8.344263332999999,-10.55659833,SL
349,8,45,10,8.344938333,-10.53872167,SL
350,11,60,10,8.34843,-10.58072667,SL
351,1,35,10,8.348611667,-10.580665,SL
352,11,30,10,8.350236667,-10.50109667,SL
353,8,15,6,8.35064,-10.50110167,SL
354,3,32,3,8.353406667,-10.51918167,SL
355,8,30,6,8.353443333,-10.519169999999999,SL
356,8,40,6,8.3536,-10.539985,SL
357,3,2,6,8.353741667000001,-10.53900333,SL
358,3,180,6,8.354028332999999,-10.55947333,SL
359,3,5,10,8.355068333,-10.59189167,SL
360,3,20,10,8.355388332999999,-10.58642833,SL
361,999995,999995,999995,8.357185000000001,-10.52645,SL
362,999995,999995,999995,8.358676667000001,-10.608885,SL
363,8,15,6,8.35924,-10.62198,SL
364,3,30,3,8.360563333,-10.57617667,SL
365,3,10,6,8.362191667000001,-10.57488,SL
366,1,30,10,8.362303333,-10.55928333,SL
367,8,25,6,8.362680000000001,-10.494595,SL
368,11,60,3,8.362706667000001,-10.52301667,SL
369,3,30,3,8.363496667,-10.536155,SL
370,3,15,6,8.364518333,-10.54661167,SL
371,3,15,6,8.36647,-10.645195,SL
372,8,20,10,8.366738332999999,-10.648005,SL
373,3,10,6,8.367833333,-10.64652167,SL
374,8,20,10,8.37065,-10.57044667,SL
375,7,5,10,8.373843333,-9.500748332999999,GN
376,7,2,10,8.374095,-9.4928,GN
377,7,25,6,8.374333333,-10.51696667,SL
378,7,4,6,8.374478332999999,-9.49013,GN
379,8,30,6,8.376321667000001,-10.4803,SL
380,3,8,3,8.37678,-10.52854667,SL
381,8,20,10,8.377256667000001,-9.461491667,GN
382,11,120,10,8.377568333,-10.50561833,SL
383,11,15,10,8.37778,-10.50089667,SL
384,7,26,6,8.377785000000001,-10.50578833,SL
385,4,26,3,8.378313333,-10.50111667,SL
386,8,2,10,8.378713333,-9.509275,GN
387,3,12,3,8.378973333,-10.60241167,SL
388,11,10,10,8.379303333,-9.520036667000001,GN
389,3,10,6,8.379861667,-10.62539,SL
390,11,2,10,8.379876667000001,-9.490531667,GN
391,11,3,10,8.380258332999999,-9.494863333,GN
392,7,15,10,8.380543333,-10.57343833,SL
393,7,15,6,8.381578333,-9.432196667000001,GN
394,7,90,6,8.382103333,-10.55412,SL
395,7,8,10,8.382489999999999,-9.461715,GN
396,8,25,10,8.38332,-9.46301,GN
397,8,7,10,8.384608333,-9.509281667,GN
398,8,15,10,8.384618332999999,-9.506195,GN
399,8,10,6,8.384638333,-10.58488,SL
400,3,30,10,8.384938333,-9.55062,GN
401,3,8,10,8.38525,-9.549833332999999,GN
402,11,20,3,8.386306667000001,-10.52115667,SL
403,7,40,10,8.38649,-9.497641667,GN
404,5,5,6,8.387043333,-10.57018333,SL
405,8,60,6,8.392111667,-10.478385000000001,SL
406,8,60,8,8.392261667,-10.48331333,SL
407,3,7,6,8.392668333,-9.341983333,GN
408,11,15,10,8.394436667,-9.501308332999999,GN
