drink_wat,water_time,toilet,hh_gps_latitude,hh_gps_longitude,Country
8,60,6,8.427713333,-10.58736333,SL
3,15,10,8.427985,-9.579856667,GN
3,30,10,8.428548333,-10.45777833,SL
8,10,6,8.429643333,-10.43030167,SL
3,30,3,8.430173333,-10.54808833,SL
8,20,10,8.43022,-10.59824667,SL
3,60,10,8.430283333,-10.46671667,SL
3,15,6,8.431096667,-10.50398333,SL
11,60,10,8.431523333,-10.50451167,SL
3,15,6,8.43156,-9.429445,GN
3,15,97,8.431658333,-10.547015,SL
3,2,4,8.431818333,-10.50311333,SL
8,5,10,8.432455,-10.53031167,SL
3,40,10,8.432968333,-9.554703333,GN
3,30,10,8.433605,-9.481815,GN
7,10,10,8.434361667,-10.426925,SL
11,90,3,8.43617,-10.49040667,SL
8,60,6,8.436566667,-10.58147167,SL
8,60,6,8.437001667,-10.55658333,SL
8,15,10,8.43713,-10.44075833,SL
8,30,6,8.43744,-10.54538667,SL
8,30,10,8.438011667,-10.59091667,SL
11,45,10,8.438026667,-10.59116833,SL
3,10,6,8.43833,-10.60558,SL
3,3,6,8.438516667,-10.62996167,SL
3,30,6,8.439221667,-10.61772,SL
1,60,10,8.439416667,-10.51726,SL
8,24,6,8.440021667,-10.48381,SL
8,40,10,8.442166667,-10.41769,SL
3,40,3,8.442216667,-9.496186667,GN
11,30,10,8.442313333,-9.570846667,GN
3,20,6,8.442396667,-10.53198833,SL
8,10,6,8.442663333,-10.606065,SL
99,25,97,8.442675,-10.49685833,SL
999995,999995,999995,8.443176667,-10.49629833,SL
999995,999995,999995,8.443236667,-10.49644333,SL
1,10,10,8.44324,-10.49636833,SL
11,60,10,8.443446667,-10.49750167,SL
8,60,10,8.445223333,-10.45980833,SL
8,30,10,8.44535,-10.56961667,SL
11,20,6,8.44543,-10.441015,SL
8,25,8,8.447085,-10.48343667,SL
7,35,6,8.447581667,-10.46708,SL
11,30,6,8.447825,-10.46719,SL
8,4,6,8.44848,-10.61386667,SL
3,35,10,8.44962,-9.606676667,LR
3,6,3,8.449768333,-10.43282,SL
8,5,6,8.450048333,-10.420625,SL
8,60,6,8.450565,-10.55957833,SL
8,75,10,8.450595,-10.53262833,SL
5,30,10,8.450938333,-10.58688,SL
3,10,10,8.450988333,-10.514415,SL
11,20,10,8.450988333,-9.474225,GN
3,30,6,8.451078333,-10.62727667,SL
11,20,10,8.451608333,-10.60569833,SL
11,60,10,8.452101667,-10.45093333,SL
5,30,10,8.452218333,-10.05254,GN
5,60,3,8.452301667,-10.53235333,SL
3,60,3,8.452511667,-10.53462833,SL
11,35,6,8.452866667,-10.49010833,SL
3,90,10,8.453278333,-10.5359,SL
11,5,6,8.453645,-10.49485667,SL
11,120,10,8.453658333,-10.49541167,SL
1,45,6,8.453723333,-10.49536167,SL
8,20,10,8.454236667,-10.50320333,SL
11,75,10,8.45436,-10.56804,SL
11,12,10,8.454476667,-10.495695,SL
11,60,10,8.454731667,-10.49586833,SL
3,2,3,8.454796667,-10.02574667,GN
3,6,6,8.455183333,-9.586973333,GN
11,55,10,8.455551667,-10.56991833,SL
1,7,10,8.456016667,-10.011975,GN
999995,999995,999995,8.456535,-9.431205,GN
3,5,6,8.45659,-10.47593,SL
3,3,6,8.456685,-10.48541167,SL
5,10,10,8.456966667,-9.482111667,GN
7,1,10,8.457703333,-9.47485,GN
8,50,10,8.45786,-10.40994833,SL
8,12,6,8.45824,-10.45418167,SL
99,2,10,8.458335,-10.00374667,GN
4,9,10,8.45842,-10.003645,GN
4,30,10,8.45925,-10.55053833,SL
1,30,10,8.459283333,-10.51750167,SL
3,12,10,8.459285,-9.434116667,GN
3,30,6,8.459678333,-9.551251667,GN
3,20,3,8.460495,-9.466693333,GN
7,5,10,8.460665,-9.477166667,GN
7,20,10,8.460771667,-9.476966667,GN
3,4,6,8.461191667,-10.61965167,SL
999995,999995,999995,8.46132,-10.60008667,SL
8,10,10,8.462188333,-10.60971333,SL
8,60,6,8.462281667,-10.43290667,SL
3,30,6,8.462303333,-10.398445,SL
3,1,6,8.46279,-10.43309167,SL
8,60,6,8.462853333,-10.427065,SL
4,16,10,8.46303,-10.04239333,GN
7,12,10,8.46307,-10.04234333,GN
5,10,2,8.463331667,-9.476811667,GN
3,10,10,8.463758333,-10.48908833,SL
7,60,10,8.463821667,-10.45267333,SL
11,45,6,8.464483333,-10.58806833,SL
5,20,10,8.465195,-9.47551,GN
5,10,3,8.465255,-9.473791667,GN
4,30,10,8.46717,-10.554335,SL
7,30,10,8.467211667,-9.989201667,GN
11,60,10,8.467266667,-9.989346667,GN
3,28,10,8.467571667,-9.592063333,GN
8,40,10,8.46786,-10.50468167,SL
11,45,10,8.46846,-10.03588167,GN
11,30,10,8.469098333,-10.39720667,SL
3,12,6,8.469156667,-10.41312333,SL
3,4,6,8.469241667,-10.61728333,SL
7,5,10,8.469273333,-10.041265,GN
11,45,10,8.469621667,-10.04104167,GN
1,30,10,8.469926667,-10.40271667,SL
8,10,10,8.470011667,-9.707023333,LR
11,90,10,8.470205,-10.00542,GN
5,30,6,8.47034,-10.00546833,GN
8,60,10,8.470673333,-10.491875,SL
11,50,10,8.470911667,-10.03000333,GN
99,3,3,8.470921667,-10.030195,GN
3,6,6,8.470966667,-10.478905,SL
11,45,3,8.471205,-10.600215,SL
8,10,10,8.471721667,-9.718296667,LR
3,30,10,8.472013333,-10.51829167,SL
11,55,10,8.472358333,-10.5776,SL
3,8,10,8.473498333,-10.01666833,GN
