,lat,lon,tags_bed_count,tags_doctors_num,tags_nurses_num,tags_electricity,tags_operator,tags_water_source,tags_opening_hours,Country
215,9.3081699,-12.77946,4,0,1,none,Ministry of Health and Sanitation,pub_tap,24/7,SL
216,8.3099996,-10.8484411,4,0,3,none,Ministry of Health and Sanitation,protected_spring,Mo-Fr 08:00-17:00,SL
217,9.8012703,-11.6576099,4,0,2,none,Ministry of Health and Sanitation,public hand pump,24/7,SL
218,9.3449915,-10.8699203,2,0,2,none,Ministry of Health and Sanitation,piped,24/7,SL
219,8.642759,-10.6690657,2,0,2,solar,government,unprotected_spring,24/7,SL
220,9.3885538,-12.6701983,5,0,3,none,Ministry of Health and Sanitation,pub_tap,24/7,SL
221,9.8370565,-12.3785885,8,,2,generator,government,protected_well,24/7,SL
222,7.5244794,-10.9970677,0,0,4,solar,Ministry of Health and Sanitation,tubewell,08:00-17:00,SL
223,9.1083682,-12.9140854,2,1,2,solar,Ministry of Health and Sanitation,rain,24/7,SL
224,9.0108546,-13.1714057,3,0,1,solar,government,protected_well,08:00-17:00,SL
225,9.3240348,-10.9445867,01,0,1,none,Ministry of Health and Sanitation,protected Hand pump from the community.,24/7,SL
226,9.4654625,-10.9226509,2,,2,none,government,pub_tap,24/7,SL
227,8.5991705,-10.5844432,4,,2,solar,government,protected_well,24/7,SL
228,8.6137487,-10.581772,4,0,2,solar,government,pub_tap,24/7,SL
229,8.21629,-10.8408237,2,0,2,none,,unprotected_well,Mo-Fr 08:00-17:00,SL
230,9.5322045,-10.9602678,,,,generator,,pub_tap,,SL
231,9.0122945,-13.1095441,3,0,3,solar,government,piped,08:00-17:00,SL
232,9.9434363,-11.6445529,1,0,2,none,Ministry of Health and Sanitation,pub_tap,24/7,SL
233,8.9591006,-10.6544955,3,0,1,solar,Ministry of Health and Sanitation,,08:00-17:00,SL
234,9.4653785,-10.9215862,3,0,2,none,Ministry of Health and Sanitation,protected_well,24/7,SL
235,8.4403943,-10.8587482,8,0,2,none,government,pub_tap,Mo-Fr 08:00-17:00,SL
236,9.0130715,-10.7280708,0,0,1,none,Ministry of Health and Sanitation,surface_water,08:00-17:00,SL
237,8.9633343,-13.0075735,5,0,1,none,government,pub_tap,08:00-17:00,SL
238,8.9400455,-10.7374573,1,0,1,none,Ministry of Health and Sanitation,surface_water,08:00-17:00,SL
239,9.102743,-12.910223,2,0,2,solar,Ministry of Health and Sanitation,protected_well,24/7,SL
240,8.2551314,-10.8137548,3,0,2,none,Ministry of Health and Sanitation,protected_well,08:00-17:00,SL
241,9.0490921,-13.2708913,7,0,3,solar,government,piped,08:00-17:00,SL
242,8.9366751,-13.1434073,4,0,4,solar,government,pub_tap,08:00-17:00,SL
243,9.1278174,-12.9103947,5,0,7,solar,Ministry of Health and Sanitation,piped,24/7,SL
244,7.7156165,-9.3871737,,,,,,,Mo-Fr 08:00-17:00,GN
245,7.6160602,-9.4927132,,,,,,,24/7,GN
246,7.7779987,-9.429574,,,,,,,Mo-Fr 08:00-17:00,GN
247,9.4318958,-13.0747521,12,6,2,,government,,24/7,GN
